symbol,timestamp,open,high,low,close,volume
MSFT,2024-12-14,482.65,486.94,481.57,482.58,85096054
MSFT,2024-12-15,364.73,368.1,362.61,367.77,91964749
MSFT,2024-12-15,360.05,368.45,351.87,362.6,22837881
MSFT,2024-12-15,307.68,312.09,299.07,303.76,15933145
MSFT,2024-12-16,448.74,452.13,440.56,446.46,87806582
MSFT,2024-12-16,374.22,377.34,369.33,373.24,49528676
MSFT,2024-12-16,232.58,241.47,231.41,239.95,94224365
MSFT,2024-12-16,395.17,403.86,389.14,391.68,16667207
MSFT,2024-12-16,390.31,398.48,387.17,388.91,7376410
MSFT,2024-12-16,471.37,477.83,469.73,472.69,82047605
MSFT,2024-12-17,406.82,416.54,398.73,399.2,35893468
MSFT,2024-12-17,481.07,485.2,479.8,483.15,21249457
MSFT,2024-12-17,444.49,451.22,434.59,435.93,1710244
MSFT,2024-12-17,395.34,398.03,389.64,397.81,47908389
MSFT,2024-12-18,313.45,318.28,304.15,309.78,33211626
MSFT,2024-12-18,450.92,460.18,448.62,459.17,43809275
MSFT,2024-12-18,351.68,353.39,346.96,349.66,31151366
MSFT,2024-12-18,410.6,415.66,403.05,406.41,66334003
MSFT,2024-12-18,458.43,460.17,453.52,458.87,24775556
MSFT,2024-12-19,435.1,440.58,429.3,429.66,69090261
MSFT,2024-12-19,410.44,411.75,402.5,410.86,74816348
MSFT,2024-12-19,461.83,466.96,458.38,465.92,21398448
MSFT,2024-12-19,332.45,340.43,330.05,338.78,93590464
MSFT,2024-12-20,386.96,388.73,384.81,386.44,97244930
MSFT,2024-12-20,485.75,493.53,478.91,493.06,52559485
MSFT,2024-12-20,471.33,475.35,467.85,470.25,64115312
MSFT,2024-12-20,400.16,410.08,390.51,399.29,7097899
MSFT,2024-12-21,271.6,280.54,267.28,278.08,86991568
MSFT,2024-12-21,272.02,273.61,267.77,268.39,12415064
MSFT,2024-12-22,467.51,475.45,461.83,470.69,29905258
MSFT,2024-12-22,463.36,466.2,458.38,464.58,41532473
MSFT,2024-12-23,249.25,252.08,242.66,250.74,83422018
MSFT,2024-12-24,446.78,452.45,440.28,444.46,65429997
MSFT,2024-12-24,225.15,233.18,216.92,232.0,86863141
MSFT,2024-12-24,239.2,247.73,230.51,237.56,87444489
MSFT,2024-12-25,417.51,425.78,416.1,423.57,66833638
MSFT,2024-12-25,264.15,270.52,255.86,268.57,78726404
MSFT,2024-12-25,323.46,332.63,319.94,331.47,98389187
MSFT,2024-12-25,270.16,279.71,263.22,277.39,7349479
MSFT,2024-12-26,398.87,403.7,394.04,395.32,56463804
MSFT,2024-12-26,234.4,240.19,230.3,233.23,80791264
MSFT,2024-12-26,382.68,384.65,379.28,379.57,17978750
MSFT,2024-12-27,468.97,470.8,467.32,470.12,90341450
MSFT,2024-12-27,421.86,431.14,418.35,420.63,35697436
MSFT,2024-12-27,370.23,372.15,369.0,369.67,76931432
MSFT,2024-12-27,316.45,319.75,308.77,314.76,53757935
MSFT,2024-12-27,237.54,239.84,234.08,234.25,63027446
MSFT,2024-12-28,398.03,406.28,392.81,398.89,81409908
MSFT,2024-12-28,440.65,450.21,438.11,448.95,32809175
MSFT,2024-12-28,237.33,245.37,229.33,237.8,86455093
MSFT,2024-12-29,351.1,360.92,346.97,352.47,19336353
MSFT,2024-12-29,409.65,417.31,401.18,411.96,37596811
MSFT,2024-12-29,267.66,276.92,258.01,260.67,75216350
MSFT,2024-12-29,476.66,481.57,471.41,473.33,74550375
MSFT,2024-12-30,357.93,366.78,349.38,350.0,26220368
